30-3-2007 17:12;;;;

Landbouwer;gerrit;;;



Delta;Prijs;Product;Tendens;Bedrijf 1 Ronde 1
Delta;Prijs;Uitgaven;Tendens;Bedrijf 1 Ronde 1
Delta;Hoeveelheid;Product;Tendens;bedrijf 1 ronde 1
Delta;Hoeveelheid;Uitgaven;Tendens;bedrijf 1 ronde 1





 ;;;;
Alea Rendement;     Bedrijf 1 Ronde 1;;;;;;;;;;;

Product;Categorie;Basis;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Kapucijners;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Karwijzaad;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Knolselderij;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Koolzaad;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Korrelmaïs;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Kunstweide;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Luzerne;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Natuur. faunarand;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Natuur. akkerflora;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Akkerbouw overig;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Ov. tuinbouw;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Ui. zaaiui. overig;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Winterui. 2e jaars plantui;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Pootaardappelrassen hoge norm;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Pootaardappelrassen overig;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Pootaardappelrassen lage norm;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Prei;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Winterrogge;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Schorseneer;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Snijmaïs. bedrijven met derogatie;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Snijmaïs. bedrijven zonder derogatie;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Spinazie;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Spruitkool;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Stam-. stokboon. vers;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Suikerbieten;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Triticale;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Tuinbonen;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Valeriaan;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Veld- en tuinbonen. vers + rijp zaad;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Vlas;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Voederbieten;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Waspeen;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Wintergerst;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Winterpeen;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Wintertarwe;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Witlof;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Witte bonen;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Witte kool;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Zaaikl.verhuurd. €1000;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Zaaikl.verhuurd. €2000;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Zaaikl.verhuurd. €3000;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Zomergerst;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Zomertarwe;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Asperges;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Bio cons. aardappelen;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Bio pootaardappelen;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Bio bruine bonen;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Bio stamslabonen;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Bio tuinbonen;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Bio doperwten;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Bio wintergerst;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Bio zomergerst;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Bio haver;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Bio wintertarwe;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Bio zomertarwe;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Bio knolselderij;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Bio winterpeen;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Bio zaaiuien;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Bio luzerne;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Bio suikerbieten;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Bio kroten;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Bio witlofwortel;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Blauwmaanzaad;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Tulpen;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Braakland;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Braakland regio 2;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Bruine bonen;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Cichorei;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Consumptieaardappelrassen hoge norm;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Consumptieaardappelrassen overig;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Consumptieaardappelrassen lage norm;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Conservenerwten;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Zetmeelaardappelen;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Geen;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Grasland met beweiden;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Grasland met volledig maaien;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Graszaad. Engels raaigras. 1e jaars;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Graszaad. roodzwenkgras. 1e jaars;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Graszaad. rietzwenkgras;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Graszaad. veldbeemd;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Graszaad. westerwolds;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Groene erwten;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Haver;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Kapucijners;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Karwijzaad;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Knolselderij;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Koolzaad;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Korrelmaïs;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Kunstweide;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Luzerne;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Natuur. faunarand;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Natuur. akkerflora;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Akkerbouw overig;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Ov. tuinbouw;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Ui. zaaiui. overig;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Winterui. 2e jaars plantui;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Pootaardappelrassen hoge norm;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Pootaardappelrassen overig;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Pootaardappelrassen lage norm;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Prei;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Winterrogge;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Schorseneer;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Snijmaïs. bedrijven met derogatie;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Snijmaïs. bedrijven zonder derogatie;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Spinazie;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Spruitkool;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Stam-. stokboon. vers;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Suikerbieten;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Triticale;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Tuinbonen;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Valeriaan;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Veld- en tuinbonen. vers + rijp zaad;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Vlas;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Voederbieten;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Waspeen;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Wintergerst;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Winterpeen;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Wintertarwe;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Witlof;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Witte bonen;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Witte kool;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Zaaikl.verhuurd. €1000;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Zaaikl.verhuurd. €2000;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Zaaikl.verhuurd. €3000;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Zomergerst;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Zomertarwe;Werk door derden;65;65;65;65;65;65;65;65;65;65;65
Asperges;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Bio cons. aardappelen;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Bio pootaardappelen;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Bio bruine bonen;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Bio stamslabonen;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Bio tuinbonen;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Bio doperwten;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Bio wintergerst;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Bio zomergerst;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Bio haver;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Bio wintertarwe;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Bio zomertarwe;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Bio knolselderij;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Bio winterpeen;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Bio zaaiuien;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Bio luzerne;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Bio suikerbieten;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Bio kroten;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Bio witlofwortel;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Blauwmaanzaad;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Tulpen;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Braakland;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Braakland regio 2;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Bruine bonen;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Cichorei;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Consumptieaardappelrassen hoge norm;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Consumptieaardappelrassen overig;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Consumptieaardappelrassen lage norm;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Conservenerwten;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Zetmeelaardappelen;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Geen;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Grasland met beweiden;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Grasland met volledig maaien;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Graszaad. Engels raaigras. 1e jaars;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Graszaad. roodzwenkgras. 1e jaars;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Graszaad. rietzwenkgras;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Graszaad. veldbeemd;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Graszaad. westerwolds;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Groene erwten;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Haver;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Kapucijners;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Karwijzaad;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Knolselderij;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Koolzaad;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Korrelmaïs;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Kunstweide;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Luzerne;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Natuur. faunarand;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Natuur. akkerflora;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Akkerbouw overig;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Ov. tuinbouw;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Ui. zaaiui. overig;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Winterui. 2e jaars plantui;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Pootaardappelrassen hoge norm;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Pootaardappelrassen overig;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Pootaardappelrassen lage norm;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Prei;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Winterrogge;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Schorseneer;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Snijmaïs. bedrijven met derogatie;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Snijmaïs. bedrijven zonder derogatie;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Spinazie;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Spruitkool;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Stam-. stokboon. vers;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Suikerbieten;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Triticale;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Tuinbonen;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Valeriaan;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Veld- en tuinbonen. vers + rijp zaad;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Vlas;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Voederbieten;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Waspeen;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Wintergerst;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Winterpeen;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Wintertarwe;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Witlof;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Witte bonen;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Witte kool;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Zaaikl.verhuurd. €1000;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Zaaikl.verhuurd. €2000;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Zaaikl.verhuurd. €3000;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Zomergerst;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
Zomertarwe;Overige meststoffen;45;45;45;45;45;45;45;45;45;45;45
krachtvoer;Rundveekosten;15;15;15;15;15;15;15;15;15;15;15
natte bijproducten;Rundveekosten;10;10;10;10;10;10;10;10;10;10;10
melkproducten;Rundveekosten;25;25;25;25;25;25;25;25;25;25;25
ruwvoer;Rundveekosten;95;95;95;95;95;95;95;95;95;95;95
diergezondheid;Rundveekosten;70;70;70;70;70;70;70;70;70;70;70
veeverbetering;Rundveekosten;60;60;60;60;60;60;60;60;60;60;60
opfok door derden;Rundveekosten;350;350;350;350;350;350;350;350;350;350;350
overige dierkosten;Rundveekosten;115;115;115;115;115;115;115;115;115;115;115

 ;;;;;;;;;;;;
Alea Rendement;     bedrijf 1 ronde 1;;;;;;;;;;;

;Activiteit;;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Asperges;Asperges;5358;5358;5358;5358;5358;5358;5358;5358;5358;5358;5358
Bio cons. aardappelen;Bio cons. aardappelen;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000
Bio pootaardappelen;Bio pootaardappelen;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000
Bio bruine bonen;Bio bruine bonen;2750;2750;2750;2750;2750;2750;2750;2750;2750;2750;2750
Bio stamslabonen;Bio stamslabonen;8500;8500;8500;8500;8500;8500;8500;8500;8500;8500;8500
Bio wintergerst;Bio wintergerst; ; ; ; ; ; ; ; ; ; ; 
Bio zomergerst;Bio zomergerst; ; ; ; ; ; ; ; ; ; ; 
Bio haver;Bio haver; ; ; ; ; ; ; ; ; ; ; 
Bio wintertarwe;Bio wintertarwe; ; ; ; ; ; ; ; ; ; ; 
Bio zomertarwe;Bio zomertarwe; ; ; ; ; ; ; ; ; ; ; 
Graszaad, Engelsraaigras, 1e jaars;Graszaad Engels raaigras 1e jaars; ; ; ; ; ; ; ; ; ; ; 
Graszaad, roodzwenkgras, 1e jaars;Graszaad roodzwenkgras 1e jaars; ; ; ; ; ; ; ; ; ; ; 
Graszaad, rietzwenkgras;graszaad rietzwenkgras; ; ; ; ; ; ; ; ; ; ; 
Graszaad, veldbeemd;Graszaad veldbeemd; ; ; ; ; ; ; ; ; ; ; 
Graszaad, westerwolds;Graszaad westerwolds; ; ; ; ; ; ; ; ; ; ; 
Groene erwten;Groene erwten; ; ; ; ; ; ; ; ; ; ; 
Haver;Haver; ; ; ; ; ; ; ; ; ; ; 
Natuur akkerflora;Natuur akkerflora; ; ; ; ; ; ; ; ; ; ; 
Winterrogge;Winterrogge; ; ; ; ; ; ; ; ; ; ; 
Triticale;Triticale; ; ; ; ; ; ; ; ; ; ; 
Vlas;Vlas; ; ; ; ; ; ; ; ; ; ; 
Wintergerst;Wintergerst; ; ; ; ; ; ; ; ; ; ; 
Wintertarwe;Wintertarwe; ; ; ; ; ; ; ; ; ; ; 
zomergerst;Zomergerst; ; ; ; ; ; ; ; ; ; ; 
Bio tuinbonen;Bio tuinbonen;17500;17500;17500;17500;17500;17500;17500;17500;17500;17500;17500
Bio doperwten;Bio doperwten;6900;6900;6900;6900;6900;6900;6900;6900;6900;6900;6900
Bio wintergerst;Bio wintergerst;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200
Bio zomergerst;Bio zomergerst;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500
Bio haver;Bio haver;5600;5600;5600;5600;5600;5600;5600;5600;5600;5600;5600
Bio wintertarwe;Bio wintertarwe;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000
Bio zomertarwe;Bio zomertarwe;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100
Bio knolselderij;Bio knolselderij;45000;45000;45000;45000;45000;45000;45000;45000;45000;45000;45000
Bio winterpeen;Bio winterpeen;54000;54000;54000;54000;54000;54000;54000;54000;54000;54000;54000
Bio zaaiuien;Bio zaaiuien;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000
Bio luzerne;Bio luzerne;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000
Bio suikerbieten;Bio suikerbieten;58000;58000;58000;58000;58000;58000;58000;58000;58000;58000;58000
Bio Kroten;Bio kroten;48000;48000;48000;48000;48000;48000;48000;48000;48000;48000;48000
Bio witlofwortel;Bio witlofwortel;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000
Blauwmaanzaad;Blauwmaanzaad;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Tulpen;Tulpen;1;1;1;1;1;1;1;1;1;1;1
Braakland;Braakland; ; ; ; ; ; ; ; ; ; ; 
Braakland regio 2;Braakland regio 2; ; ; ; ; ; ; ; ; ; ; 
Bruine bonen;Bruine bonen;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700
Cichorei;Cichorei;46000;46000;46000;46000;46000;46000;46000;46000;46000;46000;46000
Consumptieaardappelrassen hoge norm;Consumptieaardappelrassen hoge norm;50000;50000;50000;50000;50000;50000;50000;50000;50000;50000;50000
Consumptieaardappelrassen overig;Consumptieaardappelrassen overig;50000;50000;50000;50000;50000;50000;50000;50000;50000;50000;50000
Consumptieaardappelrassen lage norm;Consumptieaardappelrassen lage norm;50000;50000;50000;50000;50000;50000;50000;50000;50000;50000;50000
Conservenerwten;Conservenerwten;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700
Zetmeelaardappelen;Zetmeelaardappelen;45000;45000;45000;45000;45000;45000;45000;45000;45000;45000;45000
Geen;Geen; ; ; ; ; ; ; ; ; ; ; 
Grasland met beweiden;Grasland met beweiden;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
Grasland met volledig maaien;Grasland met volledig maaien;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
Graszaad Engels raaigras 1e jaars;Graszaad Engels raaigras 1e jaars;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Graszaad roodzwenkgras 1e jaars;Graszaad roodzwenkgras 1e jaars;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250
Graszaad rietzwenkgras;graszaad rietzwenkgras;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Graszaad veldbeemd;Graszaad veldbeemd;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
Graszaad westerwolds;Graszaad westerwolds;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750
Groene erwten;Groene erwten;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500
haver;Haver;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000
Kapucijners;Kapucijners;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400
Karwijzaad;Karwijzaad;1600;1600;1600;1600;1600;1600;1600;1600;1600;1600;1600
Knolselderij;Knolselderij;50000;50000;50000;50000;50000;50000;50000;50000;50000;50000;50000
Koolzaad;Koolzaad;3300;3300;3300;3300;3300;3300;3300;3300;3300;3300;3300
Korrelmaïs;Korrelmaïs;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000
Kunstweide;Kunstweide;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000
Luzerne;Luzerne;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000
Natuur faunarand;Natuur faunarand;1;1;1;1;1;1;1;1;1;1;1
Natuur akkerflora;Natuur akkerflora;1;1;1;1;1;1;1;1;1;1;1
Akkerbouw overig;Akkerbouw overig;1;1;1;1;1;1;1;1;1;1;1
Ov. tuinbouw;Ov. tuinbouw;1;1;1;1;1;1;1;1;1;1;1
Ui en zaaiui en overig;Ui en zaaiui en overig;27000;27000;27000;27000;27000;27000;27000;27000;27000;27000;27000
Winterui en 2e jaars plantui;Winterui en 2e jaars plantui;50000;50000;50000;50000;50000;50000;50000;50000;50000;50000;50000
Pootaardappelrassen hoge norm;Pootaardappelrassen hoge norm;21900;21900;21900;21900;21900;21900;21900;21900;21900;21900;21900
Pootaardappelrassen overig;Pootaardappelrassen overig;21900;21900;21900;21900;21900;21900;21900;21900;21900;21900;21900
Pootaardappelrassen lage norm;Pootaardappelrassen lage norm;21900;21900;21900;21900;21900;21900;21900;21900;21900;21900;21900
Prei;Prei;35000;35000;35000;35000;35000;35000;35000;35000;35000;35000;35000
winterrogge;Winterrogge;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700
Schorseneer;Schorseneren;22000;22000;22000;22000;22000;22000;22000;22000;22000;22000;22000
Snijmaïs bedrijven met derogatie;Snijmaïs bedrijven met derogatie;12500;12500;12500;12500;12500;12500;12500;12500;12500;12500;12500
Snijmaïs bedrijven zonder derogatie;Snijmaïs bedrijven zonder derogatie;12500;12500;12500;12500;12500;12500;12500;12500;12500;12500;12500
Spinazie;Spinazie;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000
Spruitkool;Spruitkool;22500;22500;22500;22500;22500;22500;22500;22500;22500;22500;22500
Stam en stokboon vers;Stam en stokboon vers;13000;13000;13000;13000;13000;13000;13000;13000;13000;13000;13000
Suikerbieten;Suikerbieten;51000;51000;51000;51000;51000;51000;51000;51000;51000;51000;51000
Triticale;Triticale;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000
Tuinbonen;Tuinbonen;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000
Valeriaan;Valeriaan;15000;15000;15000;15000;15000;15000;15000;15000;15000;15000;15000
Veld en tuinbonen vers en rijp zaad;Veld en tuinbonen vers en rijp zaad;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000
Vlas;Vlas;5300;5300;5300;5300;5300;5300;5300;5300;5300;5300;5300
Voederbieten;Voederbieten;97000;97000;97000;97000;97000;97000;97000;97000;97000;97000;97000
Waspeen;Waspeen;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000
Wintergerst;Wintergerst;5500;5500;5500;5500;5500;5500;5500;5500;5500;5500;5500
Winterpeen;Winterpeen;85000;85000;85000;85000;85000;85000;85000;85000;85000;85000;85000
Wintertarwe;Wintertarwe;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400
Witlof;Witlof;135000;135000;135000;135000;135000;135000;135000;135000;135000;135000;135000
Witte bonen;Witte bonen;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700
Witte kool;Witte kool;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000
Zaaikl. verhuurd €1000;Zaaikl. verhuurd €1000;1;1;1;1;1;1;1;1;1;1;1
Zaaikl. verhuurd €2000;Zaaikl. verhuurd €2000;1;1;1;1;1;1;1;1;1;1;1
Zaaikl. verhuurd €3000;Zaaikl. verhuurd €3000;1;1;1;1;1;1;1;1;1;1;1
