//Le 19/08/10;modifié 853;;;;;
//;;;;;;
//;;;;;;
//;;;;;;
//;;;;;;
//;;;;;;
//;;;;;;
//AgriAtelierMargeFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
CL_Trad;L_Utilise;UTILISE;USED;UTILIZADO;GEBRUIKT;UTILIZADOS
CL_Trad;L_Val_Achats;Val Achats;Buying Value;Valor Compras;Aankoopwaarde;Valor das compras
CL_Trad;L_Val_Inv;Val Inv;Fix. Ass. Value;Valor Inventario;Balanswaarde;Valor imobilizado
CL_Trad;L_Val_Ventes;Val Ventes;Sales Value;Valor Ventas;Verkoopwaarde;Valor das vendas
CL_Trad;L_Vivrier;Vivrier;Crops;Cultivos anuales;Voedingsgewassen;Comodites
//;;;;;;
//;;;;;;
//;;;;;;
//CommercialisationFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
CommercialisationFrm;L_Annee;Année;Year;Año;Jaar;Ano
CommercialisationFrm;L_Continuer;On continue ?;Do you want to continue?;Quiere usted continuar?;Wilt u verder gaan?;Voce quer continuar?
CommercialisationFrm;L_Eff;J'efface ;I delete;Borrar;Ik verwijder;Apago
CommercialisationFrm;L_EffTt; J'efface Tout ;I delete All;Borrar todo;Ik verwijder Alles; Apago tudo
CommercialisationFrm;L_Impo;Impossible !;Impossible !;Imposible !;Onmogelijk !;Impossivel!
CommercialisationFrm;L_MemeAn;l'année où copier est la même;cannot copy to same year;no se puede copiar en el mismo año;kan niet gekopieerd worden naar hetzelfde jaar;Nao e possivel copiar o mesmo ano
CommercialisationFrm;L_Message;Tout n'est pas vendu;Not all is sold;Todo no está vendido;Niet alles wordt verkocht;Nem tudo foi vendido
CommercialisationFrm;L_MessT;Je Stocke ?;DoI save?;Guardar?;Sla ik op?;Devo estocar?
CommercialisationFrm;L_Ok;D'accord ?;OK?;De acuerdo?;OK?;OK?
CommercialisationFrm;L_PasProd;Vous n'avez pas choisi de Produit;You did not select any product;No ha seleccionado un Producto;U heeft geen product geselecteerd;Voce nao escolheu produtos
CommercialisationFrm;L_PasVenteAvt;Pas de vente avant la production\n à discuter;No sales before production\n to discuss;No hay venta antes de la producción\n a discutir;Geen verkoop voor de productie \te bediscussiëren n;Nao ha vendas antes de produzir\n a discutir
CommercialisationFrm;L_Prix;    Prix;    Price;  Precio;   Prijs;   Preco
CommercialisationFrm;L_Quant;Quantité;Quantity;Cantidad;Hoeveelheid;Quantidade
CommercialisationFrm;L_QVendu;Quantités Vendues;Quantities Sold;Cantidad vendida;Verkoophoeveelheid;Quantidades vendidas
CommercialisationFrm;L_StockQ;Stock en Quantité;Stock in Quantity;Stock en cantidad;Voorraadhoeveelheid;Estoaue em quantidade
CommercialisationFrm;L_StockV;Stock en Valeur;Stock in Value;Stock en valor;Voorraadwaarde;Estoque em valor
CommercialisationFrm;L_TitreG;.,Production,  Val Inventaire,  Reste;.,Production,  Fix. Ass. Val,  Balance;.,Producción, Val Inventario, Resto;.,Productie,  Vaste Activa. Wa,  Balans;.,Producao,  Val Inventario,  Balanco
CommercialisationFrm;L_Total;Total;Total;Total;Totaal;Total
CommercialisationFrm;L_TotProduit;Total produit;Total produced;Total producido;Totaal Geproduceerd;Total produtos
CommercialisationFrm;L_TotVendu;Total vendu;Total sold;Total vendido;Totaal Verkoop;Total vendido
CommercialisationFrm;L_Valeur;    Valeur;    Value;  Valor;   Waarde;   Valor
CommercialisationFrm;L_VVendu;Valeur des Ventes;Sales Value;Valor de las Ventas;Verkoopwaarde;Valor das vendas
//;;;;;;
//;;;;;;
//;;;;;;
//DefBestiauxFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
DefBestiauxFrm;L_AttSupp; Je supprime %s \n Attention à la numérotation \n Vous êtes sur ?; I delete %s \n watch out for numbering \n Are you sure ?;Elimino %s \n Atención a la numeración \n Estad usted seguro?; Ik verwijder %s \n let op voor nummer \n Bent u zeker ?;Apago %s \n Atencao a numeracao \n Voce tem certeza?
DefBestiauxFrm;L_MemeOrig;lignes %d %d même Origine ;lines %d %d same Origin ;Línea %d %d mismo Origen;lijnen %d %d zelfde Oorsprong ;linhas %d %d de mesma origem
DefBestiauxFrm;L_MvtTroupeau;Mouvements du Troupeau;Movements of livestock;Movimiento del rebaño;Veestapelverloop;Movimento do plantel
DefBestiauxFrm;L_NonDef;Elément non défini;Item not defined;Elemento no definido;Item niet gedefinieerd;Item nao definido
DefBestiauxFrm;L_OretDest;Origine et Destination identiques ligne %d ;Same Origin and Destination line %d ;Origen y destino idénticos línea %d;Zelfde Oorsprong en Bestemming lijn %d;Origem e Destino identicos linha %d
DefBestiauxFrm;L_PasOrigine;Origine Inconnue ligne %d ;Origin Unknown line %d ;Origen desconocido línea %d;Oorsprong Onbekend van lijn %d;Origem desconhecida linha %d
DefBestiauxFrm;L_PasPrix;Pas de Prix ligne %d ;No Price line %d ;No hay Precio línea %d;Geen Prijslijn %d;Sem preco linha%d
DefBestiauxFrm;L_PasValInv;Pas de Valeur Inventaire ligne %d ;No Value StockList line %d ;No hay valor del Inventario línea %d;Geen Waarde VoorraadLijst lijn %d;Sem valor de Inventario linha %d
DefBestiauxFrm;L_Titre;.,.,NOM,ValInventaire,Prix/tete,Tva,Origine,Génére,%,Génére,%,Génére,%,Génére,%;.,.,NAME,ValStocklist,Price/head,Vat,Origin,Generate,%,Generate,%,Generate,%,Generate,%;.,.,NOMBRE,ValInventario,Precio/cabeza,IVA,Origen,Generar,%,Generar,%,Generar,%,Generar,%;.,.,NAAM,Waa_InventarisLijst,Prijs/stuk,BTW,Oorsprong,Creëert,%,Creëert,%,Creëert,%,Creëert,%;.,.,NOME,ValInventario,Preco/cabeca,Vat,Origem,Gera,%,Gera,%,Gera,%,Gera,%
//;;;;;;
//;;;;;;
//;;;;;;
//DefCalendrierFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
DefCalendrierFrm;L_CarInval;Caractère Invalide dans %s ligne %d ;Character Invalid in %s line %d ;Carácter no valido en %s línea %d;Karakter Ongeldig in %s lijn %d ;Caractere Invalido nas %s linha %d
DefCalendrierFrm;L_Debut;Debut inclus;Start included;Inicio incluido;Start inclusief;Inicio incluido
DefCalendrierFrm;L_Dispo; %Dispo; %Available;%Dispo;%Beschikbaar;%Disponivel
DefCalendrierFrm;L_DispoBizarre;% Dispo bizarre  ligne %d ;% Avail odd  line %d ;% Dispo extraño línea %d;% Beschikbaar oneven  lijn %d;% disponib estranho linha %d
DefCalendrierFrm;L_Duree0; La période ligne %d a une duree nulle; The period at line %d has no length;El periodo línea %d tiene una duración nula; De periode bij lijn %d heeft geen lengte;O periodo linha %d tem uma duracao nula
DefCalendrierFrm;L_Duree365; La période ligne %d fait dépasser 365 jours; The period at line %d makes year longer than 365 days;El periodo línea %d sobrepasa 365 días;De periode bij lijn %d maakt jaren langer dan 365 dagen;O periodo linha %d ultrapassa 365 dias
DefCalendrierFrm;L_Fin;Fin exclus;End excluded;Fin excluido;Einde exclusief;Fim excluido
DefCalendrierFrm;L_HDispo; Heures utilisées; Hours used;Horas utilizadas;Gebruikte Uren;horas utilizadas
DefCalendrierFrm;L_HJ;  h/j;  h/day;h/día;h/dag;h/dia
DefCalendrierFrm;L_JDispo; Jours utilisés; Days used;Días utilizadas;Gebruikte Dagen;Dias utilizadas
DefCalendrierFrm;L_Jours; Jours; Days;Días;Dagen;Dias
DefCalendrierFrm;L_PasDeb;Pas de Debut ligne %d ;No Start at line %d ;No hay inicio línea %d;Geen Start bij lijn %d;Sem inicio linha %d
DefCalendrierFrm;L_PasFin;Pas de Fin ligne %d ;No End at line %d ;No hay fin línea %d;Geen Eind bij lijn %d;Sem Fim linha %d
DefCalendrierFrm;L_PasHparJour;Pas d'heure par jour ligne %d ;No Hour per day line %d ;No hay hora por día en la línea %d;Geen Uur per dag lijn %d;Sem horas por dia linha %d
DefCalendrierFrm;L_PasNom; %s ligne=%d Pas de nom;No Name at line %d ;%s línea=%d Sin nombre;Geen Naam op de lijn %d;%s linha=%d Sem nome
DefCalendrierFrm;L_PerDef;PERIODES DEJA DEFINIES;PERIODS ALREADY DEFINED;PERIODOS YA DEFINIDOS;PERIODEN ZIJN AL GEDEFINIEERD;PERIODOS JA DEFINIDOS
DefCalendrierFrm;L_Periode;Période ou Activité;Period or activity;Periodo o Actividad;Periode;Periodo
DefCalendrierFrm;L_Plus100;Plus de 100% disponible;More than 100% Available;Más de 100% disponible;Meer dan 100% Beschikbaar;Mais do que 100% disponivel
DefCalendrierFrm;L_Rajout;Voulez vous rajouter des périodes ?;Do you want to add periods?;Quiere añadir periodos?;Wilt u perioden toevoegen?;Voce quer ajuntar periodos?
DefCalendrierFrm;L_SupQ; Je supprime %s \n Vous êtes sur ?; I delete %s \n Are you sure?;Suprimo %s \n Esta usted seguro?;Ik verwijder %s \n Weet u het zeker?;Eu apago %s \n Voce tem certeza?
//;;;;;;
//;;;;;;
//;;;;;;
//DefChStructFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
DefChStructFrm;L_EltNonDef;Elément non défini;Item not defined;Elemento no definido;Item niet gedefinieerd;Item nao definido
DefChStructFrm;L_Titre;.,.,Nom,TVA;.,.,Name,VAT;.,.,Nombre, IVA;.,.,Naam,BTW;.,.,Nome,VAT
//;;;;;;
//;;;;;;
//;;;;;;
//DefEtatSortieFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
DefEtatSortieFrm;L_Titre;.,.,CATEGORIE,FAMILLE;.,.,CATEGORY,FAMILY;.,.,CATEGORIA,FAMILIA;.,.,CATEGORIE,FAMILIE;.,.,CATEGORIA,FAMILIA
DefEtatSortieFrm;L_Titre2;.,.,NOM,CATEGORIE,FAMILLE;.,.,NAME,CATEGORY,FAMILY;.,.,NOMBRE,CATEGORIA,FAMILIA;.,.,NAAM,CATEGORIE,FAMILIE;.,.,NOME,CATEGORIA,FAMILIA
//;;;;;;
//;;;;;;
//;;;;;;
//DefItemFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
DefItemFrm;L_PasDeNom; %s row=%d Pas de nom; %s row=%d No name;%s row=%d No tiene nombre; %s rij=%d Geen naam; %s rij=%d Sem nome
//;;;;;;
//;;;;;;
//;;;;;;
//DefProcedureFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
DefProcedureFrm;L_EffQ; J'efface cette ligne ?; Do I delete this line ?;Elimino esta línea?; Verwijder ik deze lijn?; Apago esta linha?
DefProcedureFrm;L_JStockPas;Pas de Données Je ne Stocke rien;No Data, nothing saved;No hay datos para guardar;Geen Gegevens, Ik Sla niets op;Sem dados
DefProcedureFrm;L_LancerQ;\n   Je lance ?;\n   Do I start?;\n Comenzar?;\n   Ga ik starten?;\n   Comeco?
DefProcedureFrm;L_PasDExe;Pas d'Executable Indiqué;No Application Indicated;Ninguna Aplicación Indicada;Geen Vermelde Toepassing;Executavel nao indicado
DefProcedureFrm;L_PasFTrf;Pas de Fichier pour Transférer les Données;No File available to Transfer the Data;Ningun Fichero para Transferir los Datos;Geen bestand beschikbaar om de Gegevens te Verplaatsen;Nao ha arquivo para transferencia de dados
DefProcedureFrm;L_Procedure;Procédure;Procedure;Procedimiento;Procedure;Procedimento
//;;;;;;
//;;;;;;
//;;;;;;
//DefProduitFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
DefProduitFrm;L_ErrNom; %s row=%d Pas de nom; %s row=%d No name;%s row=%d No tiene nombre; %s rij=%d Geen naam; %s row=%d Sem nome
DefProduitFrm;L_NonDef;Elément non défini;Item not defined;Elemento no definido;Item niet gedefinieerd;Item nao definido
DefProduitFrm;L_PasUnite;Pas d'unité ligne %d ;No unit at line %d ;No hay unidad en la línea %d;Geen eenheid bij lijn %d;Sem unidade linha %d 
DefProduitFrm;L_PrixEg1;prix=1 Par définition ligne %d ;price=1 by definition, line %d ;precio=1 Por definición línea %d;prijs=1 met definitie, lijn %d ;preco=1 Por definicao linha %d 
DefProduitFrm;L_Titre;.,.,Nom,U.Atelier,U.Entreprise,U.Région,Prix/U.Ent,Tva;.,.,Name,U.Activity,U.Farm,U.Region,Price/U.Farm,Vat;.,.,NombreE,U.Actividad,U.Empresa,U.Región,Precio/U.Emp,IVA;.,.,Naam,U.Activiteit,U.Bedrjif,U.Regio,Prijs/U.Bedrijf,BTW;.,.,Nome,U.Atividade,U.EFazenda,U.Regiao,Preco/U.Faz,Vat
DefProduitFrm;L_UnParDef;1 Par définition !! Impossible de changer la monnaie;1 by definition !! Unable to change Currency;1 Por definición !! Imposible cambiar la moneda;1 met Definitie !! Onmogelijk om valuta te veranderen;1 Por definicao !! Impossivel de mudar a moeda
//;;;;;;
//;;;;;;
//;;;;;;
//DefVariableFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
DefVariableFrm;L_NonDef;Elément non défini;Item not defined;Elemento no definido;Item niet gedefinieerd;Item nao definido
DefVariableFrm;L_PasDUnit;Pas d'unité ligne %d ;No unit at line %d ;No hay unidad en la línea %d;Geen eenheid bij lijn %d;Sem unidade linha %d 
DefVariableFrm;L_Titre;.,.,Nom,U.Atelier,U.Entreprise,U.Region;.,.,Name,U.Activity,U.Farm,U.Region;.,.,Nombre,U.Actividad,U.Empresa,U.Región;.,.,Naam,U.Activiteit,U.Bedrijf,U.Regio;.,.,Nome,U.Atividade,U.Fazenda,U.Regiao
//;;;;;;
//;;;;;;
//;;;;;;
//DefZoneFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
DefZoneFrm;L_Titre;.,.,NOM;.,.,NAME;.,.,NOMBRE;.,.,NAAM;.,.,NOME
//;;;;;;
//;;;;;;
//;;;;;;
//EcrireAccessFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
EcrireAccessFrm;L_Remplace;Ecraser Un Fichier ?;Replace a file?;Eliminar un Fichero?;Een Bestand vervangen?;Substituir ?
EcrireAccessFrm;L_RemplaceAll; existe déjà !\nEtes-vous bien sûr(e) de vouloir l'écraser ?\n; Already exists !\nDo you really want to replace it?\n;Ya existe !\nEstad usted seguro de eliminarlo ?\n; bestaat reeds! \nWeet u zeker dat u het wilt vervangen?\n; Ja existe !\nVoce realmente quer lhe substituir ?\n
//;;;;;;
//;;;;;;
//;;;;;;
//EffacerFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
EffacerFrm;L_NettoyerQ;Vous voulez vraiment nettoyer;Do you really want to erase?;Estad usted seguro de eliminar?;Weet u zeker dat u wilt verwijderen?;Voce realmente quer apagar?
EffacerFrm;L_NettoyerT;NETTOYAGE;REMOVING;ELIMINANDO;VERWIJDERING;APAGANDO
//;;;;;;
//;;;;;;
//;;;;;;
//;;;;;;
//ErreurFinSommaireFrm;;;;;;
ErreurFinSommaireFrm;L_LaFormule;La formule;The formula;La fórmula;De formule;A fórmula
ErreurFinSommaireFrm;L_DetteN;Dette(n)=;Debt(n)=;Deuda(n)=;Schuld(n)=;Dívida(n)=
ErreurFinSommaireFrm;L_DetteN1;   Dette(n-1);    Debt(n-1);   Deuda(n-1);  Schuld(n-1);Dívida(n-1)
ErreurFinSommaireFrm;L_RembourN;  - Remboursement(n);    - Refund(n);   - Reembolso(n);  - Aflossing(n); - Reembolso(n)
ErreurFinSommaireFrm;L_NouveauN;  + Nouveau(n);    + New(n);   + Nuevo(n);  + Nieuw(n);   + Novo(n)
ErreurFinSommaireFrm;L_NonVerif;N'EST PAS VERIFIEE; IS NOT VALID;NO ES VERIFICADA;IS NIET VALIDE;NÃO É VERIFICADA
ErreurFinSommaireFrm;L_Dette;Dette;Debt;Deuda;Schuld;Dívida
ErreurFinSommaireFrm;L_Rembour;Remboursement;Refund;Reembolso;Aflossing;Reembolso
ErreurFinSommaireFrm;L_NeRienFaire;Ne Rien Faire;Do nothing;No hacer nada;Doe niets;Não fazer nada
//;;;;;;
//;;;;;;
//;;;;;;
//ErreurImmoSommaireFrm;;;;;;
ErreurImmoSommaireFrm;L_LaFormule;La formule;The formula;La fórmula;De formule;A fórmula
ErreurImmoSommaireFrm;L_ValResid;Valeur Résiduelle(n)=;Residual value(n)=;Valor Residual(n)=;Restwaarde(n)=;Valor Residual(n)=
ErreurImmoSommaireFrm;L_ValResidN;    Valeur Residuelle(n-1);     residual value(n-1);    Valor Residual(n-1)=;  Restwaarde(n-1);Valor Residual(n-1)=
ErreurImmoSommaireFrm;L_Amor; - Amortissement(n); - Depreciation(n); - Amortización(n);  - Afschrijving(n); - Amortização(n)
ErreurImmoSommaireFrm;L_Achat; + Achat(n); + Purchase(n); + Adquisición(n);  + Aankoop(n); + Compra(n)
ErreurImmoSommaireFrm;L_Revente; - Revente(n); - Resale(n); - Reventa(n);  - Verkoop(n); - Revenda(n)
ErreurImmoSommaireFrm;L_ProdImmo; + Production d'immo(n); + Fixed assets prod(n); + Produc Capital(n);  + waarde producten(n); + Produc Capital(n)
ErreurImmoSommaireFrm;L_NonVerif;N'EST PAS VERIFIEE; IS NOT VALID;NO ES VERIFICADA;IS NIET VALIDE;NÃO É VERIFICADA
ErreurImmoSommaireFrm;L_ValResiduelles;Valeurs Résiduelles;Residual value;Valor Residual;Restwaarde;Valor Residual
ErreurImmoSommaireFrm;L_Amors;Amortissements;Depreciation;Amortización;Afschrijving;Amortização
ErreurImmoSommaireFrm;L_NeRienFaire;Ne Rien Faire;Do nothing;No hacer nada;Doe niets;Não fazer nada
//;;;;;;
//;;;;;;
//;;;;;;
//;;;;;;
//EnsembleFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
EnsembleFrm;L_Abandon;J'abandonne ?;Do I quit?;Abandonar?;Sluit ik?;abandono ?
EnsembleFrm;L_Agri;Agriculteur;Farmer;Agricultor;Landbouwer;Agricultor
EnsembleFrm;L_EffQ;J'efface ?;Do I delete?;Borrar?;Verwijder ik?;Apago ?
EnsembleFrm;L_NbType; nb types=  ; n° types=  ;nº tipos=; n° types=  ; nr tipos=  
EnsembleFrm;L_NVar;N° Var;N° Var;Nº Var;N° Var;N° Var
EnsembleFrm;L_SupQ; Je supprime   ; I delete;Suprimir;Ik verwijder;Apago
EnsembleFrm;L_SupQ2;  Vous êtes sur ?; Are you sure?;Estad usted seguro?;Weet u het zeker?;Tem certeza?
EnsembleFrm;L_SupT;SUPPRESSION;DELETION;SUPRESIÓN;VERWIJDERING;APAGANDO
EnsembleFrm;L_Tot;Total;Total;Total;Totaal;Total
EnsembleFrm;L_Total;Total;Total;Total;Totaal;Total
EnsembleFrm;L_Vide;Ensemble Vide;Empty Set;Conjunto vacio;Leeg geheel;Conjunto vazio
//;;;;;;
//;;;;;;
//;;;;;;
//EspeceFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
EspeceFrm;L_Dur100;Maximum de vie mis à 100 ligne %d ;Maximum life put at 100, line %d ;Vida máxima puesta a 100 línea %d;Maximum levensduur gezet op 100, line %d ;Maximo de vida colocado a 100 linha %d 
EspeceFrm;L_Incoherent;Incohérence dans les phases ligne %d ;Discrepancy in phases at line %d ;Incoherencia en las fases línea %d;Niet consistent in fasen bij lijn %d ;Incoerenciae nas fases linha %d 
EspeceFrm;L_MisA1;  0 aberrant  pour la Phase 1 Mis A 1;  0 aberrant  for Phase 1, Put At 1;0 ilógico en la Fase 1 Puesto A 1;  0 afwijkend voor de Fase 1 Gezet A 1;  0 aberrante  para a fase 1 Colocar A 1
EspeceFrm;L_PasAm;Pas de Debut d'Amortissement ligne %d ;No start date for Depreciation at line %d ;No hay Inicio de Amortización línea %d;Geen startdatum voor afschrijving bij lijn %d;Sem Inicio da amortizacao linha %d 
EspeceFrm;L_PasEsp;Pas de Nom d'Espèces ligne %d ;No Species Name at line %d ;No hay nombre de Especie línea %d;Geen SoortNaam bij lijn %d ;Sem Nome de Especie linha %d 
EspeceFrm;L_SupQ; Je supprime Vous êtes sur ?; Do you really want to delete?;Esta usted seguro de suprimir?;Weet u zeker dat u wilt verwijderen?;Voce tem certeza de que quer apagar ?
EspeceFrm;L_SupT;SUPPRESSION;DELETION;SUPRESIÓN;VERWIJDERING;APAGANDO
EspeceFrm;L_Titre;.,.,ESPECE,Deb_Amor,Maxi,1,2,3,4,5,6,7,8,9,10,11,12,13,14;.,.,SPECIES,Begin_Depr,Maxi,1,2,3,4,5,6,7,8,9,10,11,12,13,14;.,.,ESPECIE,Inicio_Amor,Maxi,1,2,3,4,5,6,7,8,9,10,11,12,13,14;.,.,SOORT,Begin_Afsc,Maximaal,1,2,3,4,5,6,7,8,9,10,11,12,13,14;.,.,ESPECIE,Deb_Amor,Maxi,1,2,3,4,5,6,7,8,9,10,11,12,13,14
EspeceFrm;L_Util; UTILISE ; USED;UTILIZADO;GEBRUIKT; UTILIZADO
EspeceFrm;L_Espece;Espece;Species;Especie;SoortNaam;Nome de Especie
EspeceFrm;L_DebAmor;Deb amort;Begin depreciation;Inicio Amortización;Start afschrijving;Inicio da amortizacao
EspeceFrm;L_Maxi;Maxi;Maxi;Maxi;Maxi;Maxi
//;;;;;;
//;;;;;;
//;;;;;;
//Forme00Frm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
Forme00Frm;L_ErrAn;Erreur sur l'année;Error on year;Error en el año;Fout op Jaar;Erro no ano
Forme00Frm;L_ErrDate;Erreur sur la date;Error on date;Error en la fecha;Fout op datum;Erro na data
Forme00Frm;L_ErrMois;Erreur sur le mois;Error on month;Error en el mes;Fout op maand;Erro no mes
Forme00Frm;L_ErrNbJour;Erreur sur nombre de jours du mois;Error on number of days of month;Error en el nº de días del mes;Fout op aantal dagen van maand;Erro no numero de dias do mes
Forme00Frm;L_NomDonne;Nom déjà donné ;Name already used;Nombre ya dado;Naam is al in gebruik;Nome ja atribuido
//;;;;;;
//;;;;;;
//;;;;;;
//GereAgriFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
GereAgriFrm;L_ADesVar;Impossible: A des Variantes\n Essayer Elaguer;Impossible: Has Variants\n Try Pruning;Imposible: Tiene Variantes\n Intentar Reducirlo;Onmogelijk: Heeft Varianten \n probeer uit te dunnen;Impossivel: Tem Variantes\n Tente Podar
GereAgriFrm;L_Agri;Agriculteur;Farmer;Agricultor;Landbouwer;Agricultor
GereAgriFrm;L_Elaguer; Vous Elaguez ; You prune;Usted reduce;U dunt uit;Voce poda
GereAgriFrm;L_NbVar; Nb Var; No Var;Nº Var; N° Var; Nr Var
GereAgriFrm;L_NoVar; N° Var; No Var;Nº Var; N° Var; N° Var
GereAgriFrm;L_PasAgri;Pas d'agriculteur défini;No farmer defined;Ningun agricultor definido;Geen landbouwer gedefinieerd;Nenhum agricultor definido
GereAgriFrm;L_SupQ; Vous Supprimez ; You Delete;Usted suprime;U verwijdert; Voce apaga
GereAgriFrm;L_SupT;SUPPRESSION;DELETION;SUPRESION;VERWIJDERING;APAGANDO
GereAgriFrm;L_Utilise;UTILISE;USED;UTILIZADO;GEBRUIKT;UTILIZADO
GereAgriFrm;L_VarDe;Variantes de ;Variants from;Variantes de;Varianten van;Variantes de
//;;;;;;
//;;;;;;
//;;;;;;
//GereAleaPrixFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
GereAleaPrixFrm;L_Charge;CHARGE;COST;COSTE;KOSTEN;ENCARGOS
GereAleaPrixFrm;L_Erreur;ERREUR;ERROR;ERROR;FOUT;ERRO
GereAleaPrixFrm;L_Existe;Il existe déjà;Already used;Ya existe;Reeds gebruikt;Ja existe
GereAleaPrixFrm;L_Exter;EXTERNALITE;EXTERNALITY;EXTERNALIDAD;OMGEVINGSFACTOR;EXTERNALIDADE
GereAleaPrixFrm;L_Impo;IMPOSSIBLE;IMPOSSIBLE;IMPOSIBLE;ONMOGELIJK;IMPOSSIVEL 
GereAleaPrixFrm;L_ModifScen;Modification Nom Scénario;Modification Name Scenario;Nombre Escenario modificado;Modificatie Naam Scenario;Modificacao Nome Cenario
GereAleaPrixFrm;L_ModifTend;Modification Nom Tendance;Modification Name Tendancy;Nombre Tendencia Modificado;Modificatie Naam Tendens;Modificacao Nome Tendencia
GereAleaPrixFrm;L_NouvScen;  Nouveau Scénario; New Scenario;Escenario Nuevo;  Nieuw Scenario;Novo cenario
GereAleaPrixFrm;L_NouvTend;  NouvelleTendance; New Tendancy;Tendencia Nueva;  Nieuwe Tendens;Nova tendencia
GereAleaPrixFrm;L_NouvTendCop;Nouvelle Tendance copie de;New Tendancy copies from;Tendencia Nueva copiada de;De nieuwe Tendens kopiëert van;Nova tendencia copia de
GereAleaPrixFrm;L_PasNom; Pas de nom; No Name;No hay nombre; Geen Naam;Sem nome
GereAleaPrixFrm;L_PasSel;Aucun elément n'est sélectionné;No item selected;No ha seleccionado ningun elemento;Geen geselecteerd item;Nada esta selecionado
GereAleaPrixFrm;L_Pb;PROBLEME;PROBLEM;PROBLEMA;PROBLEEM;PROBLEMA
GereAleaPrixFrm;L_PrixScenCha;PRIX: SCENARIO: Charge;PRICE: SCENARIO: Cost;PRECIO: ESCENARIO: Coste;PRIJS: SCENARIO: Kosten;PRECO: CENARIO: Encargos
GereAleaPrixFrm;L_PrixScenProd;PRIX: SCENARIO: Produit;PRICE: SCENARIO: Product;PRECIO:ESCENARIO: Producto;PRIJS: SCENARIO: Product;PRECO: CENARIO: Produto
GereAleaPrixFrm;L_PrixTendCha;PRIX: TENDANCE: Charge;PRICE: TENDANCY: Cost;PRECIO: TENDENCIA: Coste;PRIJS: TENDENS: Kosten;PRECO: TENDENCIA: Encargos
GereAleaPrixFrm;L_PrixTendProd;PRIX: TENDANCE: Produit;PRICE: TENDANCY: Product;PRECIO: TENDENCIA: Producto;PRIJS: TENDENS: Product;PRECO: TENDENCIA: Produto
GereAleaPrixFrm;L_Prod;PRODUIT;PRODUCT;PRODUCTO;Product;PRODUTO
GereAleaPrixFrm;L_QuantScenExt;QUANTITE: SCENARIO: Externalité;QUANTITY: SCENARIO: Externality;CANTIDAD: ESCENARIO: Externalidad;HOEVEELHEID: SCENARIO: Omgevingsfactor;QUANTIDADE: CENARIO: Externalidade
GereAleaPrixFrm;L_QuantScenProd;QUANTITE: SCENARIO: Produit;QUANTITY: SCENARIO: Product;CANTIDAD: ESCENARIO: Producto;HOEVEELHEID: SCENARIO: Product;QUANTIDADE: CENARIO: Produto
GereAleaPrixFrm;L_QuantTendExt;QUANTITE: TENDANCE: Externalité;QUANTITY: TENDANCE: Externality;CANTIDAD: TENDENCIA: Externalidad;HOEVEELHEID: TENDENS: Omgevingsfactor;QUANTIDADE: TENDENCIA: Externalidade
GereAleaPrixFrm;L_QuantTendProd;QUANTITE: TENDANCE: Produit;QUANTITY: TENDANCY: Product;CANTIDAD: TENDENCIA: Producto;HOEVEELHEID: TENDENS: Product;QUANTIDADE: TENDENCIA: Produto
GereAleaPrixFrm;L_Rien;Rien à supprimer;Nothing to delete;Nada a suprimir;Niets te verwijderen;Nada a apagar
GereAleaPrixFrm;L_Sup;Vous voulez vraiment supprimer !;Do you really want to delete?;Estad usted seguro de suprimir?;Weet u zeker dat u wilt verwijderen?;Voce quer realmente apagar!
GereAleaPrixFrm;L_Util;est utilisé !;already used!;¡esta utlizado!;wordt gebruikt!;em uso!!
//;;;;;;
//;;;;;;
//;;;;;;
//GereAtelierFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
GereAtelierFrm;L_AtUtil; Atelier utilisé !; Activity Used; Actividad utilizada!; Gebruikte activiteit!;Atividade utilizada!
